hash;Avast;AVG;BitDefender;ESET-NOD32;FireEye;Kaspersky;McAfee;Microsoft;Symantec;TrendMicro;detections;Neural Network;Malware
12c6c1f0e5fb3368ab6554107edd565a;1;1;1;1;1;1;1;1;1;1;10;1;1
dc15eedf933207256df7a8d53e0318b5;1;1;1;1;1;1;1;1;1;1;10;1;1
514c4902edd3b52db3447d7a677580ac;1;1;1;1;1;1;1;1;1;1;10;1;1
d80fbf3a70777f6c6185572735be18ca;1;1;1;1;1;1;1;1;1;1;10;1;1
c526de0ef069e08b79e6c09f8c30d098;1;1;1;1;1;1;1;1;1;1;10;1;1
62b4f22402ef8124a627dc921e977463;1;1;1;1;1;1;1;1;1;1;10;1;1
18a13f7702d5ea5c943dab686f3d953f;1;1;1;1;1;1;1;1;1;1;10;1;1
fe2c7229891329bd1590ab1ce9a50bb1;1;1;1;1;1;1;1;1;1;1;10;1;1
b3e8431291e6bca9ae08c032b07ff2aa;0;0;0;1;1;1;1;1;1;0;6;1;1
b97cb53350531b16916052fcf1ccdf53;1;1;1;1;1;1;1;1;1;1;10;1;1
b0cac1cdd3c9ab7d332811850ddd8ab9;1;1;1;1;1;1;1;1;1;1;10;1;1
